org_id,total_mentions,avg_prominence,sum_prominence,prominence_rate,unique_policy_areas,most_common_policy,CATEGORY,LOCATION,FOUNDED,MSHIP_STATUS11,LOBBYING11,ABBREVCAT
2178,11,0.7272727272727273,8,0.7272727272727273,0,,(303) Professional association,DC,1958,(2) Association of individuals,410.0,(3) Occupational associations
2180,2,1.0,2,1.0,1,100.0,(204) Trade associations,DC,1981,(3) Association of institutions,295.0,(2) Trade and other business associations
2181,1,1.0,1,1.0,1,1600.0,(804) Consortium of governments,DC,1967,(4) Government or association of governments,277.5,(14) State and local governments
2183,24,0.4583333333333333,11,0.4583333333333333,3,300.0,(302) Association of public employees,DC,1921,(2) Association of individuals,907.9809876,(3) Occupational associations
2185,1,0.0,0,0.0,0,,"(301) Association of business professionals, managers, executives, and administrators",DC,1972,(2) Association of individuals,280.0,(3) Occupational associations
2186,23,0.43478260869565216,10,0.43478260869565216,5,1600.0,(1412) Protestant - evangelical,DC,1942,(2) Association of individuals,,(8) Identity groups
2188,16,0.5,8,0.5,3,1500.0,(204) Trade associations,DC,1967,(3) Association of institutions,4330.0,(2) Trade and other business associations
2190,2,0.0,0,0.0,1,100.0,(302) Association of public employees,DC,1918,(2) Association of individuals,0.0,(3) Occupational associations
2191,4,0.25,1,0.25,1,500.0,(804) Consortium of governments,DC,1970,(4) Government or association of governments,0.0,(14) State and local governments
2192,1,0.0,0,0.0,0,,(804) Consortium of governments,DC,1978,(4) Government or association of governments,0.0,(14) State and local governments
2195,8,0.0,0,0.0,0,,(405) public sector Union - mixed,DC,1961,(2) Association of individuals,0.0,(4) Unions
2197,6,0.0,0,0.0,2,100.0,"(301) Association of business professionals, managers, executives, and administrators",DC,1930,(2) Association of individuals,2326.0,(3) Occupational associations
2200,4,0.0,0,0.0,0,,(1403) Latinos,DC,1984,(2) Association of individuals,0.0,(8) Identity groups
